Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086039,2000,01,28.2,Y
IDCJAC0001,086039,2000,02,34.5,Y
IDCJAC0001,086039,2000,03,22.5,Y
IDCJAC0001,086039,2000,05,96.3,Y
IDCJAC0001,086039,2000,06,42.4,Y
IDCJAC0001,086039,2000,07,45.1,Y
IDCJAC0001,086039,2000,08,58.4,Y
IDCJAC0001,086039,2000,09,86.3,Y
IDCJAC0001,086039,2000,10,131.5,Y
IDCJAC0001,086039,2000,11,35.1,Y
IDCJAC0001,086039,2000,12,30.8,Y
IDCJAC0001,086039,2001,01,9.3,Y
IDCJAC0001,086039,2001,02,12.4,Y
IDCJAC0001,086039,2001,03,112.5,Y
IDCJAC0001,086039,2001,05,13.4,Y
IDCJAC0001,086039,2001,06,65.2,Y
IDCJAC0001,086039,2001,07,14.8,Y
IDCJAC0001,086039,2001,08,52.6,Y
IDCJAC0001,086039,2001,09,39.4,N
IDCJAC0001,086039,2001,10,65.2,Y
IDCJAC0001,086039,2001,11,69.8,N
IDCJAC0001,086039,2001,12,49.6,Y
IDCJAC0001,086039,2002,01,44.4,Y
IDCJAC0001,086039,2002,02,76.4,Y
IDCJAC0001,086039,2002,03,26.2,Y
IDCJAC0001,086039,2002,04,44.0,N
IDCJAC0001,086039,2002,05,34.8,N
IDCJAC0001,086039,2002,06,29.6,Y
IDCJAC0001,086039,2002,07,22.4,N
IDCJAC0001,086039,2002,08,4.0,N
IDCJAC0001,086039,2002,10,27.0,Y
IDCJAC0001,086039,2002,11,23.2,Y
IDCJAC0001,086039,2002,12,15.6,Y
IDCJAC0001,086039,2003,01,9.8,Y
IDCJAC0001,086039,2003,02,18.4,Y
IDCJAC0001,086039,2003,03,25.2,Y
IDCJAC0001,086039,2003,04,68.2,Y
IDCJAC0001,086039,2003,05,24.6,Y
IDCJAC0001,086039,2003,06,36.8,Y
IDCJAC0001,086039,2003,07,70.9,Y
IDCJAC0001,086039,2003,08,57.6,N
IDCJAC0001,086039,2003,09,36.4,Y
IDCJAC0001,086039,2003,10,71.6,N
IDCJAC0001,086039,2003,11,20.3,Y
IDCJAC0001,086039,2003,12,56.8,Y
IDCJAC0001,086039,2004,01,32.4,Y
IDCJAC0001,086039,2004,02,15.4,Y
IDCJAC0001,086039,2004,03,15.2,Y
IDCJAC0001,086039,2004,04,45.2,Y
IDCJAC0001,086039,2004,05,25.8,Y
IDCJAC0001,086039,2004,06,39.2,Y
IDCJAC0001,086039,2004,07,25.0,Y
IDCJAC0001,086039,2004,08,74.0,Y
IDCJAC0001,086039,2004,09,63.6,Y
IDCJAC0001,086039,2004,10,74.0,Y
IDCJAC0001,086039,2004,11,124.0,Y
IDCJAC0001,086039,2004,12,59.6,Y
IDCJAC0001,086039,2005,01,20.8,Y
IDCJAC0001,086039,2005,02,201.4,N
IDCJAC0001,086039,2005,03,12.2,Y
IDCJAC0001,086039,2005,04,31.2,Y
IDCJAC0001,086039,2005,05,10.6,Y
IDCJAC0001,086039,2005,06,43.0,Y
IDCJAC0001,086039,2005,07,30.0,Y
IDCJAC0001,086039,2005,08,62.8,N
IDCJAC0001,086039,2005,09,44.8,Y
IDCJAC0001,086039,2005,10,58.4,Y
IDCJAC0001,086039,2005,11,55.2,Y
IDCJAC0001,086039,2005,12,59.6,Y
IDCJAC0001,086039,2006,01,37.4,Y
IDCJAC0001,086039,2006,02,39.8,Y
IDCJAC0001,086039,2006,03,13.6,Y
IDCJAC0001,086039,2006,04,44.8,Y
IDCJAC0001,086039,2006,05,66.8,Y
IDCJAC0001,086039,2006,06,16.4,Y
IDCJAC0001,086039,2006,07,53.2,Y
IDCJAC0001,086039,2006,08,41.6,Y
IDCJAC0001,086039,2006,10,10.0,N
IDCJAC0001,086039,2006,11,22.8,N
IDCJAC0001,086039,2006,12,14.4,Y
IDCJAC0001,086039,2007,01,36.4,Y
IDCJAC0001,086039,2007,02,24.2,N
IDCJAC0001,086039,2007,04,24.2,N
IDCJAC0001,086039,2007,05,42.2,Y
IDCJAC0001,086039,2007,06,39.8,Y
IDCJAC0001,086039,2007,07,66.2,Y
IDCJAC0001,086039,2007,08,21.4,Y
IDCJAC0001,086039,2007,09,27.2,Y
IDCJAC0001,086039,2007,10,16.6,Y
IDCJAC0001,086039,2007,11,54.8,N
IDCJAC0001,086039,2007,12,79.2,Y
IDCJAC0001,086039,2008,01,16.0,Y
IDCJAC0001,086039,2008,02,30.0,Y
IDCJAC0001,086039,2008,03,45.8,Y
IDCJAC0001,086039,2008,04,18.0,Y
IDCJAC0001,086039,2008,05,45.6,Y
IDCJAC0001,086039,2008,06,17.4,Y
IDCJAC0001,086039,2008,07,46.8,Y
IDCJAC0001,086039,2008,08,40.2,Y
IDCJAC0001,086039,2008,09,16.4,Y
IDCJAC0001,086039,2008,10,17.8,Y
IDCJAC0001,086039,2008,11,43.4,N
IDCJAC0001,086039,2008,12,80.2,Y
IDCJAC0001,086039,2009,01,0.4,Y
IDCJAC0001,086039,2009,02,3.0,N
IDCJAC0001,086039,2009,03,31.0,Y
IDCJAC0001,086039,2009,04,28.4,Y
IDCJAC0001,086039,2009,05,9.8,Y
IDCJAC0001,086039,2009,06,23.6,N
IDCJAC0001,086039,2009,07,34.6,Y
IDCJAC0001,086039,2009,08,42.2,Y
IDCJAC0001,086039,2009,09,71.6,Y
IDCJAC0001,086039,2009,10,18.8,Y
IDCJAC0001,086039,2009,11,101.6,Y
IDCJAC0001,086039,2009,12,40.0,Y
