Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066062,1858,07,22.5,Y
IDCJAC0001,066062,1858,08,19.8,Y
IDCJAC0001,066062,1858,09,35.7,Y
IDCJAC0001,066062,1858,10,94.9,Y
IDCJAC0001,066062,1858,11,63.1,Y
IDCJAC0001,066062,1858,12,53.2,Y
IDCJAC0001,066062,1859,01,177.6,Y
IDCJAC0001,066062,1859,02,183.5,Y
IDCJAC0001,066062,1859,03,25.7,Y
IDCJAC0001,066062,1859,04,11.7,Y
IDCJAC0001,066062,1859,05,24.9,Y
IDCJAC0001,066062,1859,06,109.8,Y
IDCJAC0001,066062,1859,07,119.2,Y
IDCJAC0001,066062,1859,08,7.6,Y
IDCJAC0001,066062,1859,09,277.3,Y
IDCJAC0001,066062,1859,10,7.7,Y
IDCJAC0001,066062,1859,11,33.4,Y
IDCJAC0001,066062,1859,12,92.4,Y
IDCJAC0001,066062,1860,01,166.9,Y
IDCJAC0001,066062,1860,02,275.8,Y
IDCJAC0001,066062,1860,03,132.4,Y
IDCJAC0001,066062,1860,04,508.0,Y
IDCJAC0001,066062,1860,05,4.5,Y
IDCJAC0001,066062,1860,06,72.0,Y
IDCJAC0001,066062,1860,07,303.9,Y
IDCJAC0001,066062,1860,08,240.8,Y
IDCJAC0001,066062,1860,09,72.3,Y
IDCJAC0001,066062,1860,10,103.5,Y
IDCJAC0001,066062,1860,11,185.5,Y
IDCJAC0001,066062,1860,12,44.9,Y
IDCJAC0001,066062,1861,01,91.8,Y
IDCJAC0001,066062,1861,02,83.1,Y
IDCJAC0001,066062,1861,03,111.7,Y
IDCJAC0001,066062,1861,04,622.1,Y
IDCJAC0001,066062,1861,05,40.4,Y
IDCJAC0001,066062,1861,06,47.0,Y
IDCJAC0001,066062,1861,07,121.7,Y
IDCJAC0001,066062,1861,08,196.3,Y
IDCJAC0001,066062,1861,09,45.3,Y
IDCJAC0001,066062,1861,10,69.0,Y
IDCJAC0001,066062,1861,11,41.3,Y
IDCJAC0001,066062,1861,12,15.4,Y
IDCJAC0001,066062,1862,01,94.4,Y
IDCJAC0001,066062,1862,02,120.6,Y
IDCJAC0001,066062,1862,03,47.8,Y
IDCJAC0001,066062,1862,04,35.3,Y
IDCJAC0001,066062,1862,05,37.4,Y
IDCJAC0001,066062,1862,06,84.7,Y
IDCJAC0001,066062,1862,07,3.2,Y
IDCJAC0001,066062,1862,08,49.2,Y
IDCJAC0001,066062,1862,09,15.7,Y
IDCJAC0001,066062,1862,10,18.8,Y
IDCJAC0001,066062,1862,11,26.2,Y
IDCJAC0001,066062,1862,12,76.1,Y
IDCJAC0001,066062,1863,01,163.8,Y
IDCJAC0001,066062,1863,02,159.8,Y
IDCJAC0001,066062,1863,03,142.9,Y
IDCJAC0001,066062,1863,04,160.5,Y
IDCJAC0001,066062,1863,05,10.3,Y
IDCJAC0001,066062,1863,06,148.8,Y
IDCJAC0001,066062,1863,07,36.1,Y
IDCJAC0001,066062,1863,08,162.4,Y
IDCJAC0001,066062,1863,09,83.2,Y
IDCJAC0001,066062,1863,10,87.9,Y
IDCJAC0001,066062,1863,11,17.1,Y
IDCJAC0001,066062,1863,12,23.4,Y
IDCJAC0001,066062,1864,01,27.9,Y
IDCJAC0001,066062,1864,02,182.7,Y
IDCJAC0001,066062,1864,03,296.5,Y
IDCJAC0001,066062,1864,04,189.5,Y
IDCJAC0001,066062,1864,05,102.1,Y
IDCJAC0001,066062,1864,06,391.0,Y
IDCJAC0001,066062,1864,07,203.7,Y
IDCJAC0001,066062,1864,08,77.3,Y
IDCJAC0001,066062,1864,09,29.1,Y
IDCJAC0001,066062,1864,10,137.8,Y
IDCJAC0001,066062,1864,11,31.5,Y
IDCJAC0001,066062,1864,12,87.2,Y
IDCJAC0001,066062,1865,01,114.4,Y
IDCJAC0001,066062,1865,02,114.6,Y
IDCJAC0001,066062,1865,03,23.9,Y
IDCJAC0001,066062,1865,04,61.4,Y
IDCJAC0001,066062,1865,05,26.5,Y
IDCJAC0001,066062,1865,06,135.0,Y
IDCJAC0001,066062,1865,07,47.9,Y
IDCJAC0001,066062,1865,08,75.8,Y
IDCJAC0001,066062,1865,09,28.5,Y
IDCJAC0001,066062,1865,10,23.2,Y
IDCJAC0001,066062,1865,11,251.0,Y
IDCJAC0001,066062,1865,12,19.4,Y
IDCJAC0001,066062,1866,01,104.1,Y
IDCJAC0001,066062,1866,02,100.2,Y
IDCJAC0001,066062,1866,03,68.9,Y
IDCJAC0001,066062,1866,04,25.9,Y
IDCJAC0001,066062,1866,05,84.4,Y
IDCJAC0001,066062,1866,06,226.4,Y
IDCJAC0001,066062,1866,07,113.0,Y
IDCJAC0001,066062,1866,08,26.9,Y
IDCJAC0001,066062,1866,09,3.6,Y
IDCJAC0001,066062,1866,10,34.8,Y
IDCJAC0001,066062,1866,11,91.8,Y
IDCJAC0001,066062,1866,12,58.4,Y
IDCJAC0001,066062,1867,01,44.1,Y
IDCJAC0001,066062,1867,02,93.6,Y
IDCJAC0001,066062,1867,03,306.3,Y
IDCJAC0001,066062,1867,04,443.6,Y
IDCJAC0001,066062,1867,05,96.7,Y
IDCJAC0001,066062,1867,06,320.6,Y
IDCJAC0001,066062,1867,07,66.4,Y
IDCJAC0001,066062,1867,08,24.8,Y
IDCJAC0001,066062,1867,09,84.4,Y
IDCJAC0001,066062,1867,10,5.3,Y
IDCJAC0001,066062,1867,11,5.1,Y
IDCJAC0001,066062,1867,12,21.6,Y
IDCJAC0001,066062,1868,01,114.3,Y
IDCJAC0001,066062,1868,02,388.1,Y
IDCJAC0001,066062,1868,03,21.2,Y
IDCJAC0001,066062,1868,04,1.4,Y
IDCJAC0001,066062,1868,05,127.0,Y
IDCJAC0001,066062,1868,06,79.2,Y
IDCJAC0001,066062,1868,07,121.0,Y
IDCJAC0001,066062,1868,08,66.3,Y
IDCJAC0001,066062,1868,09,51.3,Y
IDCJAC0001,066062,1868,10,37.1,Y
IDCJAC0001,066062,1868,11,61.4,Y
IDCJAC0001,066062,1868,12,23.1,Y
IDCJAC0001,066062,1869,01,25.9,Y
IDCJAC0001,066062,1869,02,183.0,Y
IDCJAC0001,066062,1869,03,131.5,Y
IDCJAC0001,066062,1869,04,152.0,Y
IDCJAC0001,066062,1869,05,314.9,Y
IDCJAC0001,066062,1869,06,35.8,Y
IDCJAC0001,066062,1869,07,82.7,Y
IDCJAC0001,066062,1869,08,17.0,Y
IDCJAC0001,066062,1869,09,40.7,Y
IDCJAC0001,066062,1869,10,44.1,Y
IDCJAC0001,066062,1869,11,141.2,Y
IDCJAC0001,066062,1869,12,51.2,Y
IDCJAC0001,066062,1870,01,70.0,Y
IDCJAC0001,066062,1870,02,38.2,Y
IDCJAC0001,066062,1870,03,474.6,Y
IDCJAC0001,066062,1870,04,140.6,Y
IDCJAC0001,066062,1870,05,266.1,Y
IDCJAC0001,066062,1870,06,38.0,Y
IDCJAC0001,066062,1870,07,61.0,Y
IDCJAC0001,066062,1870,08,71.4,Y
