Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086039,2000,05,96.3,Y
IDCJAC0001,086039,2000,06,42.4,Y
IDCJAC0001,086039,2000,07,45.1,Y
IDCJAC0001,086039,2000,08,58.4,Y
IDCJAC0001,086039,2000,09,86.3,Y
IDCJAC0001,086039,2000,10,131.5,Y
IDCJAC0001,086039,2000,11,35.1,Y
IDCJAC0001,086039,2000,12,30.8,Y
IDCJAC0001,086039,2001,01,9.3,Y
IDCJAC0001,086039,2001,02,12.4,Y
IDCJAC0001,086039,2001,03,112.5,Y
IDCJAC0001,086039,2001,05,13.4,Y
IDCJAC0001,086039,2001,06,65.2,Y
IDCJAC0001,086039,2001,07,14.8,Y
IDCJAC0001,086039,2001,08,52.6,Y
IDCJAC0001,086039,2001,09,39.4,N
IDCJAC0001,086039,2001,10,65.2,Y
IDCJAC0001,086039,2001,11,69.8,N
IDCJAC0001,086039,2001,12,49.6,Y
IDCJAC0001,086039,2002,01,44.4,Y
IDCJAC0001,086039,2002,02,76.4,Y
